<HP_0001218> <HP_0040064>
<GO_0043229> <GO_0043226>
<HP_0033907> <HP_0033892>
<HP_0012769> <HP_0002817>
<HP_0003237> <HP_0410242>
<UBERON_0001813> <UBERON_0001810>
<HP_0100463> <HP_0100938>
<UBERON_0001183> <UBERON_0005616>
<HP_0033052> <HP_0000708>
<GO_1903318> <GO_0051248>
<HP_0000557> <HP_0001087>
<HP_0033546> <HP_0033544>
<HP_0025413> <HP_0012227>
<PATO_0000050> <PATO_0000165>
<HP_0006522> <HP_0002107>
<HP_0032783> <HP_0032767>
<HP_0009544> <HP_0009541>
<HP_0011967> <HP_0010836>
<HP_0001004> <HP_0000969>
<HP_0033897> <HP_0033896>
<HP_0033458> <HP_0033456>
<HP_0001879> <HP_0001911>
<CL_0002656> <CL_0000150>
<HP_0003080> <HP_0033098>
<UBERON_0005469> <UBERON_0005483>
<HP_0002172> <HP_0100022>
<HP_0040104> <HP_0000402>
<HP_0000947> <HP_0003016>
<HP_0003926> <HP_0031095>
<HP_0006253> <HP_0006261>
<CHEBI_133748> <CHEBI_35753>
<HP_6000241> <HP_0033080>
<UBERON_0000025> <UBERON_0004111>
<UBERON_0001683> <UBERON_0008001>
<CHEBI_23690> <CHEBI_37622>
<HP_0011655> <HP_0001719>
<HP_0011741> <HP_0000859>
<HP_0006698> <HP_0001713>
<UBERON_0014404> <UBERON_0014402>
<HP_6000480> <HP_0025640>
<HP_0009703> <HP_0010009>
<UBERON_0002290> <UBERON_0001886>
<HP_0004315> <HP_0410242>
<GO_1903319> <GO_0051247>
<HP_0003185> <HP_0010456>
<HP_0011428> <HP_0011425>
<PATO_0000599> <PATO_0000921>
<UBERON_0001794> <UBERON_0010314>
<UBERON_0034947> <UBERON_0034873>
<CL_0002656> <CL_0000152>
<GO_0050877> <GO_0003008>
<HP_0033126> <HP_0011355>
<HP_0009980> <HP_0009973>
<HP_0033709> <HP_0032016>
<HP_0030120> <HP_0030119>
<HP_0008703> <HP_0000812>
<CHEBI_33676> <CHEBI_33497>
<HP_0031498> <HP_0031495>
<HP_0032504> <HP_0012638>
<HP_0500266> <HP_0020177>
<HP_0008504> <HP_0000407>
<HP_0004347> <HP_0002795>
<HP_0025677> <HP_0025676>
<HP_0003745> <HP_0000005>
<HP_0033764> <HP_0033763>
<UBERON_0010233> <UBERON_0010313>
<HP_0100872> <HP_0011356>
<HP_0025458> <HP_0500238>
<HP_0031547> <HP_0003115>
<UBERON_0034994> <UBERON_0004040>
<HP_0033909> <HP_0033879>
<HP_0002730> <HP_0002716>
<HP_0030471> <HP_0030469>
<HP_0100645> <HP_0100672>
<UBERON_0009200> <UBERON_0001003>
<UBERON_0000473> <UBERON_0000991>
<HP_4000148> <HP_4000147>
<HP_0031865> <HP_0001392>
<HP_0008518> <HP_0009122>
<HP_0001100> <HP_0200064>
<HP_0031346> <HP_0002629>
<PATO_0045087> <PATO_0045000>
<HP_0010554> <HP_0012725>
<HP_0003555> <HP_0004303>
<HP_0011663> <HP_0001638>
<UBERON_0010069> <UBERON_0015814>
<HP_0410136> <HP_0410134>
<CHEBI_32952> <CHEBI_50047>
<CL_0002132> <CL_0000499>
<PATO_0001394> <PATO_0001393>
<HP_6000690> <HP_0040207>
<HP_0430094> <HP_0430091>
<HP_0025500> <HP_0001513>
<HP_0031584> <HP_0031571>
<CHEBI_72695> <CHEBI_25367>
<HP_0034316> <HP_0045007>
<HP_0001541> <HP_0001438>
<HP_0008432> <HP_0008422>
<UBERON_0004999> <UBERON_0000344>
<GO_0140013> <GO_0000280>
<HP_0030165> <HP_0430104>
<GO_0001818> <GO_0051241>
<UBERON_0002242> <UBERON_0000062>
<UBERON_0006858> <UBERON_0002368>
<HP_0008922> <HP_0003521>
<UBERON_0002413> <UBERON_0015007>
<HP_0001204> <HP_0009700>
<UBERON_0010955> <UBERON_0006904>
<HP_0005353> <HP_0034318>
<CL_1000714> <CL_1000549>
<UBERON_0001225> <UBERON_0001851>
<HP_0200012> <HP_0200011>
<HP_0009330> <HP_0010266>
<UBERON_0002682> <UBERON_0006331>
<PATO_0001404> <PATO_0001396>
<HP_0030283> <HP_0007375>
<HP_0410239> <HP_0031840>
<UBERON_0006946> <UBERON_0000025>
<HP_0011416> <HP_0100767>
<CL_1000478> <CL_1000409>
<HP_0009332> <HP_0010243>
<GO_0051873> <GO_0051702>
<UBERON_0010254> <UBERON_0005689>
<HP_0034220> <HP_0001355>
<HP_0003805> <HP_0004303>
<HP_0012309> <HP_0011034>
<HP_6000261> <HP_0010701>
<CL_0002622> <CL_0000499>
<HP_0012883> <HP_0011027>
<HP_0001806> <HP_0025756>
<HP_0031772> <HP_0012518>
<CHEBI_16831> <CHEBI_26878>
<HP_0100223> <HP_0100098>
<HP_0100225> <HP_0100078>
<HP_0020292> <HP_0020289>
<HP_0034818> <HP_0000798>
<HP_0002017> <HP_0011458>
<HP_0031348> <HP_0001669>
<HP_0003842> <HP_0003839>
<HP_0009630> <HP_0009618>
<HP_0034722> <HP_0100299>
<UBERON_0003520> <UBERON_0003835>
<HP_0100834> <HP_0007378>
<UBERON_0001720> <UBERON_0007635>
<CL_0002434> <CL_0000811>
<HP_0011522> <HP_0000642>
<UBERON_0001419> <UBERON_0000014>
<PATO_0045077> <PATO_0001956>
<UBERON_0018119> <UBERON_0005211>
<CHEBI_26273> <CHEBI_83821>
<UBERON_0019042> <UBERON_0000344>
<UBERON_0013121> <UBERON_0004447>
<CHEBI_63367> <CHEBI_63299>
<UBERON_0017748> <UBERON_0018617>
<UBERON_0004235> <UBERON_0004121>
<HP_0100880> <HP_0012210>
<GO_0007159> <GO_0098609>
<HP_0034777> <HP_0032016>
<HP_0000159> <HP_0000163>
<UBERON_0008597> <UBERON_0001577>
<UBERON_0010379> <UBERON_0010313>
<HP_0009980> <HP_0009977>
<HP_4000029> <HP_0030057>
<UBERON_0001261> <UBERON_0000030>
<HP_0006739> <HP_0002860>
<HP_0410372> <HP_0012358>
<HP_0000897> <HP_0000919>
<HP_0034838> <HP_0033802>
<CHEBI_59698> <CHEBI_33457>
<UBERON_0010303> <UBERON_0005292>
<HP_0025744> <HP_0001992>
<CL_1000702> <CL_0000192>
<GO_0014058> <GO_0032223>
